Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
amortiguador-delalntero-toyota-hilux-4x2-4x4;Amortiguador Delalntero Toyota Hilux 4x2 4x4;Toyota > Suspensión y Dirección, Suspensión y Dirección;;;;;;;65528.82;;1.72;63;38;19;4;2640479A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-derecho-chevrolet-cruze;Amortiguador Delantero Derecho Chevrolet Cruze;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;105872.6;;1.72;63;19;19;2;2641213A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-delantero-derecho-chevrolet-spin;Amortiguador Delantero Derecho Chevrolet Spin;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;100328.35;;1.72;63;19;19;13;2641205A;;SI;NO;;;;;ACDelco;SI;;;;
kit-de-filtros-chevrolet-astra-zafira-vectra-8v;Kit De Filtros Chevrolet Astra Zafira Vectra 8v;Chevrolet > Motor, Motor;;;;;;;37015.71;;1;10;35;30;1;SERCHAST;;SI;NO;;;;;Original;SI;;;;
aceite-acdelco-semisintetico-10w40-4l;Aceite Acdelco Semisintetico 10w40 4l;Chevrolet > Aditivos y Lubricantes, Volkswagen > Aditivos y Lubricantes, Toyota > Aditivos y Lubricantes, Renault > Aditivos y Lubricantes, Ford > Aditivos y Lubricantes, Peugeot > Aditivos y Lubricantes, Aditivos y Lubricantes;;;;;;;38583.53;;4.5;20;15;37;120;C976404--O;;SI;NO;;;;;ACDelco;SI;;;;
kit-de-filtros-para-service-chevrolet-prisma-onix-1-4;Kit De Filtros Para Service Chevrolet Prisma Onix 1.4;Chevrolet > Motor, Motor;;;;;;;27928.5;;1;10;30;35;1;SERCHONIX;;SI;NO;;;;;Original;SI;;;;
kit-de-filtros-para-service-chevrolet-corsa-agile;Kit De Filtros Para Service Chevrolet Corsa Agile;Chevrolet > Motor, Motor;;;;;;;30545.92;;1;10;30;35;1;SERCHCOR;;SI;NO;;;;;Original;SI;;;;
tensor-distribucion-chevrolet-vectra-astra-montana-corsa-ii;Tensor Distribucion Chevrolet Vectra Astra Montana Corsa Ii;Chevrolet > Motor, Motor;;;;;;;60815.01;;0.4;4;10;10;21;93353848;;SI;NO;;;;;GM;SI;;;;
tensor-distribucion-chevrolet-corsa-agile-meriva;Tensor Distribución Chevrolet Corsa Agile Meriva;Chevrolet > Motor, Motor;;;;;;;60815.01;;0.4;4;10;10;15;93353848;;SI;NO;;;;;GM;SI;;;;
juego-amortiguadores-traseros-chevrolet-agile;Juego Amortiguadores Traseros Chevrolet Agile;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;107919.06;;2.88;66;14;7;1;2640422A X2;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-sonic;Amortiguador Trasero Chevrolet Sonic;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;61617.25;;1.44;66;7;7;20;2641207A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-derecho-chevrolet-meriva;Amortiguador Trasero Derecho Chevrolet Meriva;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;49440.34;;1.44;66;7;7;4;2640442A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-derecho-chevrolet-zafira;Amortiguador Trasero Derecho Chevrolet Zafira;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;49440.34;;1.44;66;7;7;4;2640442A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-spin;Amortiguador Trasero Chevrolet Spin;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;68760.24;;1.44;66;7;7;5;2641208A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-s10-2012-en-adelante;Amortiguador Trasero Chevrolet S10 2012 En Adelante;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;55707.33;;1.44;66;7;7;12;2641209A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-aveo;Amortiguador Trasero Chevrolet Aveo;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;46256.38;;1.44;66;7;7;3;2640424A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-montana;Amortiguador Trasero Chevrolet Montana;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;82833.86;;1.44;66;7;7;4;2641217A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguado-trasero-chevrolet-s10-4x2;Amortiguado Trasero Chevrolet S10 4x2;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;55636.48;;1.44;66;7;7;12;2640464A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-toyota-hilux-4x2-1995-2004;Amortiguador Trasero Toyota Hilux 4x2 1995 / 2004;Toyota > Suspensión y Dirección, Suspensión y Dirección;;;;;;;45663.61;;1.44;66;7;7;3;2640478A;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-chevrolet-sonic;Juego Amortiguadores Traseros Chevrolet Sonic;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;116573.17;;2.88;66;14;7;1;2641207A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-chevrolet-aveo;Juego Amortiguadores Traseros Chevrolet Aveo;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;87512.07;;2.88;66;14;7;1;2640424A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-s10-4x2-y-4x4-1996-a-2011;Juego Amortiguadores Traseros S10 4x2 Y 4x4 1996 A 2011;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;105258.2;;2.88;66;14;7;1;2640464A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-chevrolet-montana;Juego Amortiguadores Traseros Chevrolet Montana;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;156712.7;;2.88;66;7;7;1;2641217A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-chevrolet-vectra;Juego Amortiguadores Traseros Chevrolet Vectra;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;93535.77;;2.88;66;14;7;1;2640442A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-chevrolet-zafira;Juego Amortiguadores Traseros Chevrolet Zafira;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;93535.77;;2.88;66;14;7;1;2640442A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-s10-4x2-4x4-2012-a-2016;Juego Amortiguadores Traseros S10 4x2 / 4x4 2012 A 2016;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;102381.04;;2.88;66;7;14;1;2641209A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-chyevrolet-spin;Juego Amortiguadores Traseros Chyevrolet Spin;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;130086.93;;2.88;66;14;7;6;2641208A X2;;SI;NO;;;;;ACDelco;SI;;;;
juego-amortiguadores-traseros-suzuki-fun;Juego Amortiguadores Traseros Suzuki Fun;Suzuki > Suspensión y Dirección, Suspensión y Dirección;;;;;;;83144.16;;2.88;66;14;7;1;2640428A X2;;SI;NO;;;;;ACDelco;SI;;;;
juegos-amortiguadores-traseros-toyota-hilux-4x2-1995-2004;Juegos Amortiguadores Traseros Toyota Hilux 4x2 1995 / 2004;Toyota > Suspensión y Dirección, Suspensión y Dirección;;;;;;;86390.61;;1.44;66;14;7;1;2640478A X2;;SI;NO;;;;;ACDelco;SI;;;;
kit-distribucion-original-con-bomba-de-agua-chevrolet-spin;Kit Distribución Original Con Bomba De Agua Chevrolet Spin;Chevrolet > Motor, Motor;;;;;;;148590.2;;1.3;25;25;15;2;KDCHC18;;SI;NO;;;;;GM;SI;;;;
kit-distribucion-original-con-bomba-de-agua-chevrolet-cobalt;Kit Distribución Original Con Bomba De Agua Chevrolet Cobalt;Chevrolet > Motor, Motor;;;;;;;148590.2;;1.3;25;25;15;2;KDCHC18;;SI;NO;;;;;GM;SI;;;;
bomba-de-agua-chevrolet-corsa-agile-celta-fun-acdelco;Bomba De Agua Chevrolet Corsa Agile Celta Fun Acdelco;Chevrolet > Motor, Motor;;;;;;;31843.24;;0.4;13;13;13;18;C121005F-O;;SI;NO;;;;;ACDelco;SI;;;;
bomba-de-agua-chevrolet-prisma-onix-acdelco;Bomba De Agua Chevrolet Prisma Onix Acdelco;Chevrolet > Motor, Motor;;;;;;;31843.24;;0.4;13;13;13;18;C121005F-O;;SI;NO;;;;;ACDelco;SI;;;;
kit-distribucion-chevrolet-agile-onix-prisma-montana-1-4;Kit Distribucion Chevrolet Agile Onix Prisma Montana 1.4;Chevrolet > Motor, Motor;;;;;;;88060.87;;0.4;25;25;6;59;KDCHC14*O;;SI;NO;;;;;GM;SI;;;;
kit-distribucion-y-bomba-de-agua-agile-onix-prisma-1-4;Kit Distribucion Y Bomba De Agua Agile Onix Prisma 1.4;Chevrolet > Motor, Motor;;;;;;;123011.6;;1.3;25;25;15;1;KDCHC14C-A;;SI;NO;;;;;GM;SI;;;;
kit-juego-cables-y-bujias-corsa-spin-celta-agile-cobalt-fun;Kit Juego Cables Y Bujias Corsa Spin Celta Agile Cobalt Fun;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;ACDelco;SI;;;;
kit-de-embrague-kit-3pzs-renault-laguna-megane-s;Kit De Embrague Kit = 3pzs Renault Laguna/megane/s;Renault > Motor, Motor;;;;;;;484357.42;;3.5;7;30;30;3;NSK199;;SI;NO;;;;;PHC;SI;;;;
conjunto-de-embrague-kit-2pzs-renault-fluence-2;Conjunto De Embrague Kit = 2pzs Renault Fluence 2.;Renault > Motor, Motor;;;;;;;480072.98;;3.5;7;30;30;2;SS06/SSC06;;SI;NO;;;;;PHC;SI;;;;
conjunto-de-embrague-kit-2pzs-ford-ranger-maxion;Conjunto De Embrague Kit = 2pzs Ford Ranger Maxion;Ford > Motor, Motor;;;;;;;678205.46;;3.5;7;30;30;5;AM57/FDC03;;SI;NO;;;;;PHC;SI;;;;
kit-embrague-volkswagen-gol-senda-quantum-ford-galaxy;Kit Embrague Volkswagen Gol / Senda / Quantum / Ford Galaxy;Volkswagen > Motor, Ford > Motor, Motor;;;;;;;289951.61;;3.5;7;30;30;4;VWK085B;;SI;NO;;;;;PHC;SI;;;;
kit-embrague-cruze-1-8-phc;Kit Embrague Cruze 1.8 Phc;Chevrolet > Motor, Motor;;;;;;;463536.78;;3.5;7;30;30;3;DWK020;;SI;NO;;;;;PHC;SI;;;;
kit-de-filtros-para-service-chevrolet-meriva-corsa-ii-1-8-8v;Kit De Filtros Para Service Chevrolet Meriva Corsa Ii 1.8 8v;Chevrolet > Motor, Motor;;;;;;;33280.62;;1;10;30;35;1;SERCHMER;;SI;NO;;;;;Original;SI;;;;
kit-de-embrague-kit-3pzs-renault-clio-kangoo-1-2;Kit De Embrague Kit = 3pzs Renault Clio/kangoo 1.2;Renault > Motor, Motor;;;;;;;241783.45;;3.5;7;30;30;4;NSK195;;SI;NO;;;;;PHC;SI;;;;
kit-embrague-toyota-hilux-sw4-2-8-d-3-0-d-236mm;Kit Embrague Toyota Hilux/sw4 2.8 D / 3.0 D 236mm;Toyota > Motor, Motor;;;;;;;725278.9;;3.5;7;30;30;4;TY31/TYC20;;SI;NO;;;;;PHC;SI;;;;
kit-distribucion-chevrolet-corsa-classic-agile-1-4-1-6;Kit Distribucion Chevrolet Corsa Classic Agile 1.4 1.6;Chevrolet > Motor, Motor;;;;;;;58059.14;;0.3;25;25;6;1;KDCHC14AC;;SI;NO;;;;;ACDelco;SI;;;;
subconjunto-chevrolet-f14d-std-c-u-77-9-mm-aveo-1-4-16v;Subconjunto Chevrolet F14d Std C/u 77.9 Mm Aveo 1.4 16v;Chevrolet > Motor, Motor;;;;;;;419684.39;;1;13;23;20;3;SCCHF14D0*T;;SI;NO;;;;prueba;Akuro;SI;;;;
juego-cables-y-bujias-chevrolet-vectra-8v-2-2;Juego Cables Y Bujias Chevrolet Vectra 8v 2.2;Chevrolet > Motor, Motor;;;;;;;43925.01;;0.3;8;12;22;1;KECHC208V;;SI;NO;;;;;ACDelco;SI;;;;
juego-cables-y-bujias-chevrolet-astra-1-8-y-2-0;Juego Cables Y Bujias Chevrolet Astra 1.8 Y 2.0;Chevrolet > Motor, Motor;;;;;;;43925.01;;0.3;8;12;22;1;KECHC208V;;SI;NO;;;;;ACDelco;SI;;;;
juego-cables-y-bujias-chevrolet-vectra-16v-2-2;Juego Cables Y Bujias Chevrolet Vectra 16v 2.2;Chevrolet > Motor, Motor;;;;;;;54626.22;;0.3;8;12;22;1;KECHC2016V;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-prisma;Amortiguador Trasero Chevrolet Prisma;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;61617.25;;1.44;66;7;7;20;2641207A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-onix-prisma-sonic-cobalt;Amortiguador Trasero Chevrolet Onix Prisma Sonic Cobalt;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;61617.25;;1.44;66;7;7;20;2641207A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-onix;Amortiguador Trasero Chevrolet Onix;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;61617.25;;1.44;66;7;7;20;2641207A;;SI;NO;;;;;ACDelco;SI;;;;
amortiguador-trasero-chevrolet-cobalt;Amortiguador Trasero Chevrolet Cobalt;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;61617.25;;1.44;66;7;7;20;2641207A;;SI;NO;;;;;ACDelco;SI;;;;
juego-cables-y-bujias-suzuki-fun;Juego Cables Y Bujias Suzuki Fun;Suzuki > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;;SI;;;;
juego-cables-y-bujias-chevrolet-celta;Juego Cables Y Bujias Chevrolet Celta;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;;SI;;;;
juego-cables-y-bujias-chevrolet-meriva-8v;Juego Cables Y Bujias Chevrolet Meriva 8v;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;;SI;;;;
juego-cables-y-bujias-chevrolet-corsa;Juego Cables Y Bujias Chevrolet Corsa;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;;SI;;;;
juego-cables-y-bujias-chevrolet-cobalt;Juego Cables Y Bujias Chevrolet Cobalt;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;22;8;12;1;KECHC14A;;SI;NO;;;;;;SI;;;;
juego-cables-y-bujias-chevrolet-agile;Juego Cables Y Bujias Chevrolet Agile;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;;SI;;;;
aceite-para-motor-acdelco-10w40-semi-sintetico-para-autos-pickups-suvs-4-litros;Aceite Para Motor Acdelco 10w40 Semi-sintético Para Autos, Pickups & Suvs 4 Litros;Chevrolet > Aditivos y Lubricantes, Volkswagen > Aditivos y Lubricantes, Toyota > Aditivos y Lubricantes, Renault > Aditivos y Lubricantes, Ford > Aditivos y Lubricantes, Peugeot > Aditivos y Lubricantes, Aditivos y Lubricantes;;;;;;;38583.53;;4.5;20;15;37;120;C976404--O;;SI;NO;;;;;;SI;;;;
kit-distribucion-original-chevrolet-corsa-fun-celta-1-4-1-6;Kit Distribucion Original Chevrolet Corsa Fun Celta 1.4 1.6;Chevrolet > Motor, Motor;;;;;;;88060.87;;0.3;25;25;6;59;KDCHC14*O;;SI;NO;;;;;;SI;;;;
juego-cables-y-bujias-chevrolet-spin;Juego Cables Y Bujias Chevrolet Spin;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;;SI;;;;
juego-cables-y-bujias-chevrolet-corsa-ii;Juego Cables Y Bujias Chevrolet Corsa Ii;Chevrolet > Motor, Motor;;;;;;;47173.86;;0.3;8;12;22;1;KECHC14A;;SI;NO;;;;;;SI;;;;
kit-distribucion-original-con-bomba-de-agua-chevrolet-meriva;Kit Distribución Original Con Bomba De Agua Chevrolet Meriva;Chevrolet > Motor, Motor;;;;;;;148590.2;;1.3;25;25;15;2;KDCHC18;;SI;NO;;;;;;SI;;;;
kit-distribucion-con-bomba-de-agua-chevrolet-corsa-ii;Kit Distribución Con Bomba De Agua Chevrolet Corsa Ii;Chevrolet > Motor, Motor;;;;;;;148590.2;;1.3;25;25;15;2;KDCHC18;;SI;NO;;;;;;SI;;;;
juego-amortiguadores-traseros-chevrolet-corsa;Juego Amortiguadores Traseros Chevrolet Corsa;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;83144.16;;2.44;66;14;7;1;2640428A X2;;SI;NO;;;;;;SI;;;;
juego-amortiguadores-traseros-chevrolet-meriva;Juego Amortiguadores Traseros Chevrolet Meriva;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;93535.77;;2.88;66;14;7;1;2640442A X2;;SI;NO;;;;;;SI;;;;
juego-amortiguadores-traseros-chevrolet-prisma;Juego Amortiguadores Traseros Chevrolet Prisma;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;116573.17;;2.88;66;14;7;1;2641207A X2;;SI;NO;;;;;;SI;;;;
juego-amortiguadores-traseros-chevrolet-onix;Juego Amortiguadores Traseros Chevrolet Onix;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;116573.17;;2.44;66;14;7;1;2641207A X2;;SI;NO;;;;;;SI;;;;
juego-amortiguadores-traseros-chevrolet-cobalt;Juego Amortiguadores Traseros Chevrolet Cobalt;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;116573.17;;2.88;66;14;7;1;2641207A X2;;SI;NO;;;;;;SI;;;;
amortiguador-trasero-derecho-chevrolet-vectra;Amortiguador Trasero Derecho Chevrolet Vectra;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;49440.34;;1.44;66;7;7;4;2640442A;;SI;NO;;;;;;SI;;;;
amortiguador-trasero-derecho-chevrolet-vectra-zafira-meriva;Amortiguador Trasero Derecho Chevrolet Vectra Zafira Meriva;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;49440.34;;1.44;66;7;7;4;2640442A;;SI;NO;;;;;;SI;;;;
amortiguador-trasero-chevrolet-corsa;Amortiguador Trasero Chevrolet Corsa;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;43947.63;;1.44;66;7;7;14;2640428A;;SI;NO;;;;;;SI;;;;
amortiguador-trasero-suzuki-fun;Amortiguador Trasero Suzuki Fun;Suzuki > Suspensión y Dirección, Suspensión y Dirección;;;;;;;43947.63;;1.44;66;7;7;14;2640428A;;SI;NO;;;;;;SI;;;;
tensor-distribucion-chevrolet-onix-prisma;Tensor Distribucion Chevrolet Onix Prisma;Chevrolet > Motor, Motor;;;;;;;60815.01;;0.4;4;10;10;21;93353848;;SI;NO;;;;;;SI;;;;
amortiguador-delantero-derecho-chevrolet-prisma;Amortiguador Delantero Derecho Chevrolet Prisma;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;56534.88;;1.72;63;19;19;9;2640427A;;SI;NO;;;;;;SI;;;;
amortiguador-delantero-izquierdo-chevrolet-onix;Amortiguador Delantero Izquierdo Chevrolet Onix;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;56534.88;;1.72;63;19;19;18;2640427A;;SI;NO;;;;;;SI;;;;
amortiguador-delantero-izquierdo-chevrolet-sonic-onix-prisma;Amortiguador Delantero Izquierdo Chevrolet Sonic Onix Prisma;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;56534.88;;1.72;63;19;19;18;2640427A;;SI;NO;;;;;;SI;;;;
amortiguador-delantero-derecho-chevrolet-onix;Amortiguador Delantero Derecho Chevrolet Onix;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;56534.88;;1.72;63;19;19;18;2640427A;;SI;NO;;;;;;SI;;;;
amortiguador-delantero-derecho-chevrolet-sonic-onix-prisma;Amortiguador Delantero Derecho Chevrolet Sonic Onix Prisma;Chevrolet > Suspensión y Dirección, Suspensión y Dirección;;;;;;;56534.88;;1.72;63;19;19;9;2640427A;;SI;NO;;;;;;SI;;;;
