Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
kit-de-led-c6-mini-sin-cooler-h7-6-gen-20000lm-chi;Kit De Led C6 Mini Sin Cooler H7 6 Gen 20000lm Chi;;;;;;;;19961.92;;0.00;0.00;0.00;0.00;1;C6MINI-H7;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-dist-s-10-2-8-12-200hp;Tensor Correa Dist S/10 2.8 12/ 200hp;;;;;;;;55186.73;;0.00;0.00;0.00;0.00;1;12644510;;SI;NO;;;;;Auto;SI;;;;
cano-inferior-radiador-4707-astra-99-8v;Caño Inferior Radiador -4707- Astra 99/ 8v;;;;;;;;18817.72;;0.00;0.00;0.00;0.00;1;C12105130C;;SI;NO;;;;;Auto;SI;;;;
filtro-aire-chevr-cruze-1-4t;Filtro Aire Chevr.cruze 1.4t;;;;;;;;21733.97;;0.00;0.00;0.00;0.00;1;MF LX301514;;SI;NO;;;;;Auto;SI;;;;
cable-comando-cambios-marcha-4368-cobalt-onix-pri;Cable Comando Cambios Marcha 4368 Cobalt/onix/pri;;;;;;;;153855.64;;0.00;0.00;0.00;0.00;1;C71126514F;;SI;NO;;;;;Auto;SI;;;;
cilindro-puerta-delantera-trailblazer-s10-12-vir;Cilindro Puerta Delantera Trailblazer/s10 12/ (vir;;;;;;;;109490.93;;0.00;0.00;0.00;0.00;1;13580508;;SI;NO;;;;;Auto;SI;;;;
faro-trasero-derecho-fitam-corsa-99-4-p;Faro Trasero Derecho -fitam- Corsa 99/ 4 P;;;;;;;;26394.75;;0.00;0.00;0.00;0.00;1;C9450966-F;;SI;NO;;;;;Auto;SI;;;;
tapa-superior-flotante-chevrolet-todos-07-2009;Tapa Superior Flotante Chevrolet Todos 07-2009/;;;;;;;;35083.26;;0.00;0.00;0.00;0.00;1;19015F;;SI;NO;;;;;Auto;SI;;;;
sensor-velocimetro-7801-quantum-gol-ab9;Sensor Velocimetro (7801) Quantum-gol Ab9;;;;;;;;22476.48;;0.00;0.00;0.00;0.00;1;3259578271-F;;SI;NO;;;;;Auto;SI;;;;
sapito-limpiaparabrisas-trailblazer-s10-12-genera;Sapito Limpiaparabrisas Trailblazer/s10 12/ Genera;;;;;;;;16287.22;;0.00;0.00;0.00;0.00;1;20820073;;SI;NO;;;;;Auto;SI;;;;
emblema-bigotera-grilla-astra-03;Emblema (bigotera) Grilla Astra 03/;;;;;;;;72895.48;;0.00;0.00;0.00;0.00;1;93328725;;SI;NO;;;;;Auto;SI;;;;
kit-palanca-cambios-completo-corsa-05;Kit Palanca Cambios Completo Corsa 05/;;;;;;;;40613.99;;0.00;0.00;0.00;0.00;1;C7111177-C;;SI;NO;;;;;Auto;SI;;;;
tensor-poly-v-skf-vkm-31008-amarok;Tensor Poly V -skf-vkm 31008) Amarok**;;;;;;;;75086.33;;0.00;0.00;0.00;0.00;1;03G145276--S;;SI;NO;;;;;Auto;SI;;;;
ruleman-cazoleta-polo-00-fox;Ruleman Cazoleta Polo 00/-fox;;;;;;;;29716.91;;0.00;0.00;0.00;0.00;1;6N0412249C--;;SI;NO;;;;;Auto;SI;;;;
carcaza-filtro-aire-corsa-nafta-classic;Carcaza Filtro Aire Corsa Nafta / Classic;;;;;;;;105955.85;;0.00;0.00;0.00;0.00;1;93313695;;SI;NO;;;;;Auto;SI;;;;
juego-past-freno-19pf1013-acdelco-s-10-blaz-95;Juego Past Freno (19pf1013) Acdelco S-10/blaz 95/;;;;;;;;47927.5;;0.00;0.00;0.00;0.00;1;C69815110O;;SI;NO;;;;;Auto;SI;;;;
cazoleta-amort-delatero-erghom-vectra-astra-corsa;Cazoleta Amort Delatero Erghom Vectra/astra/corsa/;;;;;;;;26885.97;;0.00;0.00;0.00;0.00;1;C4123313-I;;SI;NO;;;;;Auto;SI;;;;
manguera-ent-rad-onix-prisma;Manguera Ent Rad Onix Prisma;;;;;;;;38166.76;;0.00;0.00;0.00;0.00;1;52114729;;SI;NO;;;;;Auto;SI;;;;
correa-distrib-z135-hutchinson-vw-trend-voyage;Correa Distrib Z=135 -hutchinson- Vw Trend Voyage;;;;;;;;48908.17;;0.00;0.00;0.00;0.00;1;030109119--H;;SI;NO;;;;;Auto;SI;;;;
polea-intermedia-correa-alternador-trailblazer-s10;Polea Intermedia Correa Alternador Trailblazer/s10;;;;;;;;23176.16;;0.00;0.00;0.00;0.00;1;24590404;;SI;NO;;;;;Auto;SI;;;;
rotula-suspension-derecho-skf-vkds4916a-fox-trend-voyage;Rotula Suspension Derecho Skf (vkds4916a) Fox/trend/voyage;;;;;;;;38125.59;;0.00;0.00;0.00;0.00;1;5U0407366A-S;;SI;NO;;;;;Auto;SI;;;;
correa-alt-s-10-12-6pk2870;Correa Alt S/10 12/ 6pk2870;;;;;;;;56585.34;;0.00;0.00;0.00;0.00;1;24581174;;SI;NO;;;;;Auto;SI;;;;
polea-fija-de-re-envio-dayco-fox-17-x-76-x-26;Polea Fija De Re-envio (dayco) Fox 17 X 76 X 26;;;;;;;;22010.17;;0.00;0.00;0.00;0.00;1;032145276--R;;SI;NO;;;;;Auto;SI;;;;
base-filtro-de-aceite-completa-amarok;Base Filtro De Aceite Completa Amarok;;;;;;;;92891.25;;0.00;0.00;0.00;0.00;1;03L115389H-I;;SI;NO;;;;;Auto;SI;;;;
palanca-cambios-completa-onix-prisma-13-16-general;Palanca Cambios Completa Onix/prisma 13/16 General;;;;;;;;249378.07;;0.00;0.00;0.00;0.00;1;24582360;;SI;NO;;;;;Auto;SI;;;;
inyector-lubricacion-aceite-piston-sonic;Inyector Lubricacion Aceite Piston Sonic;;;;;;;;51694.29;;0.00;0.00;0.00;0.00;1;55564441;;SI;NO;;;;;Auto;SI;;;;
juego-reten-valvula-toyota-1zz-fe-naft-corolla-1-8-16v-in;Juego Reten Valvula Toyota 1zz-fe Naft Corolla 1.8 16v In;;;;;;;;34715.86;;0.00;0.00;0.00;0.00;1;RVT1ZZ-FE;;SI;NO;;;;;Auto;SI;;;;
cano-inferior-radiador-bifurc-5422-s-10-06-c-mwm;Caño Inferior Radiador -bifurc-5422- S-10 06/ C-mwm;;;;;;;;30835.76;;0.00;0.00;0.00;0.00;1;C12105142C;;SI;NO;;;;;Auto;SI;;;;
bobina-chevr-tracker-1-8-16v-sonic;Bobina Chevr.tracker 1.8 16v Sonic;;;;;;;;298200.26;;0.00;0.00;0.00;0.00;1;U5 MIC00015;;SI;NO;;;;;Auto;SI;;;;
