Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
reten-bancada-s10-astra-vectra-1-8-2-0;Reten Bancada S10/astra/vectra 1.8/2.0;;;;;;;;49,333.07;;0.00;0.00;0.00;0.00;1;C1030517-C;;SI;NO;;;;;Auto;SI;;;;
correa-elastica-hutchinson-volkswagen-6sk1200;Correa Elastica Hutchinson Volkswagen 6sk1200;;;;;;;;111,997.56;;0.00;0.00;0.00;0.00;1;6SK1200;;SI;NO;;;;;Auto;SI;;;;
crapodina-embrague-hidra-s10-2-8-mwm;Crapodina Embrague Hidra. S10 2.8 Mwm;;;;;;;;505,033.84;;0.00;0.00;0.00;0.00;1;C1411657-R;;SI;NO;;;;;Auto;SI;;;;
faro-trasero-izquierdo-celta-fun-2007;Faro Trasero Izquierdo Celta/fun 2007/;;;;;;;;99,333.54;;0.00;0.00;0.00;0.00;1;C94509524N;;SI;NO;;;;;Auto;SI;;;;
palanca-inversora-select-t-original-voy-trend-suran;Palanca Inversora Select. (t.original) Voy-trend-suran;;;;;;;;52,992.71;;0.00;0.00;0.00;0.00;1;6R0711202X--;;SI;NO;;;;;Auto;SI;;;;
aceite-acdelco-0w20-sn-rc-sintetico-dexos-1-gen-3;Aceite Acdelco 0w20 Sn/rc Sintetico Dexos 1 Gen 3;;;;;;;;227,248.63;;0.00;0.00;0.00;0.00;1;98553895;;SI;NO;;;;;Auto;SI;;;;
rotula-suspension-derecho-nakata-1075-fox-trend-voy;Rotula Suspension Derecho Nakata 1075 Fox/trend/voy;;;;;;;;125,799.94;;0.00;0.00;0.00;0.00;1;5U0407366A-D;;SI;NO;;;;;Auto;SI;;;;
balancin-sth-chevrolet-s-10-2-8tdi-16v-rod-17;Balancin - Sth Chevrolet S-10 2.8tdi 16v. Rod.17;;;;;;;;72,115.37;;0.00;0.00;0.00;0.00;1;BV14075A;;SI;NO;;;;;Auto;SI;;;;
correa-distr-mwm-s10-2-8-tdi-14-167-d-200hp;Correa Distr Mwm S10 2.8 Tdi 14/ 167 D 200hp;;;;;;;;346,302.40;;0.00;0.00;0.00;0.00;1;C10911933O;;SI;NO;;;;;Auto;SI;;;;
valvula-flujo-aceite-block-sonic-general-motors;Valvula Flujo Aceite Block Sonic General Motors;;;;;;;;73,176.35;;0.00;0.00;0.00;0.00;1;90530050;;SI;NO;;;;;Auto;SI;;;;
